companyname;websiteaddress;city;country
"NESTLE S.A.";"www.nestle.com";"VEVEY";"Switzerland"
"ROCHE HOLDING AG";"www.roche.com";"BASEL";"Switzerland"
"SCHWEIZERISCHE NATIONALBANK";"www.snb.ch";"ZURICH";"Switzerland"
"NOVARTIS AG";"www.novartis.com";"BASEL";"Switzerland"
"ZURICH INSURANCE GROUP AG";"www.zurich.com";"ZURICH";"Switzerland"
"ZURICH VERSICHERUNGS GESELLSCHAFT AG";"www.zurich.com";"ZURICH";"Switzerland"
"UBS AG";"www.investment-banking.tv";"";"Switzerland"
"CHUBB LTD";"www.2.chubb.co";"ZURICH";"Switzerland"
"SWISS RE AG";"www.swissre.com";"ZURICH";"Switzerland"
"ABB LTD";"www.abb.com";"ZURICH";"Switzerland"
